"//						"						
"//						"						
"//						"						
id	file	action	frame	count	dir	delay
1	magic_9	1	0	6	8	120
2	magic_4	1	0	6	8	120
3	magic_6	1	0	6	8	120
4	magic_3	1	0	6	1	120
		3	6	10	1	120
5	magic_7	1	0	10	1	120
		2	10	6	16	120
		3	106	10	1	120
6	magic_8	3	0	16	1	120
7	magic_11	1	0	10	1	120
		2	10	6	16	120
		3	106	10	1	120
8	magic_12	1	0	6	1	120
		3	6	28	1	120
9	magic_13	1	0	11	8	120
10	magic_14	3	0	25	1	120
11	magic_15	3	0	30	1	120
12	magic_16	1	0	10	1	120
		3	10	16	1	120
