"//						"						
"//						"						
"//						"						
id	file	action	frame	count	dir	delay
1	hum_1	站立	0	4	8	120
		走路	32	6	8	80
		普攻	80	6	8	120
		重击	128	6	8	120
		魔攻	176	6	8	120
		死亡	224	4	8	120
2	hum_3	站立	0	4	8	120
		走路	32	6	8	80
		普攻	80	6	8	120
		重击	128	6	8	120
		魔攻	176	6	8	120
		死亡	224	4	8	120
3	hum_4	站立	0	4	8	120
		走路	32	6	8	80
		普攻	80	6	8	120
		重击	128	6	8	120
		魔攻	176	6	8	120
		死亡	224	4	8	120
4	hum_2	站立	0	4	8	120
		走路	32	6	8	80
		普攻	80	6	8	120
		重击	80	6	8	120
		魔攻	80	6	8	120
		死亡	128	4	8	120
5	hum_5	站立	0	4	8	120
		走路	32	6	8	80
		普攻	80	6	8	120
		重击	128	6	8	120
		魔攻	176	6	8	120
		死亡	224	4	8	120
